,Tweet
0,"In 2016, almost all Germans were against Trump. Mainstream media still is putting him down, but on social media surprisingly many speak now up in his favor. #USElection"
4,Make it all blue.   Build your own US election result: plot a win for Biden or Trump  https://t.co/AUQC088d5h
9,@aliceTTimes Loads of GC people are talking about voting Trump in the upcoming US election because they have managed to somehow create a world where preventing trans rights is more important than all women's rights and freedoms. It's ridiculous and it is not the result of rational concern
12,"Whilst some are panicking at drops in usually strong plays today, others are relishing pricing opportunities presenting which will turn out to be well timed buys following resolution to US election uncertainty (it is on Tuesday)  #Trump wins markets up #Biden wins markets up"
14,"Suspect I'm not alone in daily convincing myself that Trump will win the US Election.  My rational self sees the polling and thinks fleetingly the shitstain will get the boot, but it's the hope that gets you and I'm not sure my soul can take another kicking on election night...😕"
21,US election 2020: Trump and Harris to campaign in Arizona as 70m Americans vote early – live updates  https://t.co/Q6xB9bxrSw
24,"With just 6 days until the US election, the @nytimes leads its daily briefing with a scathing report on the UK’s much-unloved govt and its woeful mishandling of the pandemic.  How hopeless do you have to be to become more newsworthy than Trump? @Conservatives  https://t.co/TJmMibWFM6"
27,“We need new leadership that brings people together.”  Civil rights activist Martin Luther King III says cutting diversity in the government has shown that Donald Trump’s “conduct is racist”.  #USelection Get #KayBurley updates live:  https://t.co/KxzxtEiNIi  https://t.co/NlB5vwCNwA
33,"“Donald Trump is not the saviour that he told everybody he was going to be.”  National Spokesperson of No Dem Left Behind, Richard Ojeda explains why he has gone from voting for Donald Trump to campaigning against him.  #USelection #KayBurley:  https://t.co/KxzxtEiNIi  https://t.co/cIbWSdthxc"
35,"Good piece by @shaunwalker7 and @julianborger on how the US election result is unlikely to see a dramatic change in relations with #Russia. The #Kremlin's preferred outcome is a #Trump victory, of course, but Putin clearly hedging in recent days  https://t.co/fbhKmn0w1l"
40,“Innocent people have lost their lives and that’s the way the Trump people talk about it.”  Former senior adviser to Joe Biden Moe Vela ‘takes offence’ to a former Trump campaigner saying that Joe Biden has COVID “going for him”.  #USelection #KayBurley:  https://t.co/KxzxtEiNIi  https://t.co/E8VFJgSvUU
41,There’s been a rare eleventh-hour appearance on the US election campaign trail - Melania Trump opening up about some of her husband’s flaws in her first solo event this year. @AmeliaAdams9 #Election2020 #9News  https://t.co/ZTHLsw00lx
42,Former Trump campaign adviser Sam Nunberg says Joe Biden has 'COVID going for him' but has “no message” on why people should vote for him.  #USelection Get #KayBurley updates live:  https://t.co/KxzxtEiNIi  https://t.co/yAWVBUP8HD
46,"Looking at the videos out of the US, I have severe FOMOS and want to be in a @realDonaldTrump rally and stand with patriots in support against global corruption, marxism and leftist ideologies.  Can we do a Kiwis for Trump march?  #Trump2020 #TrumpRally #KiwisForTrump #USElection"
55,"US election will decide the outflow/inflow Across Asia and Othr emerging markets . If trump wins US Equities will be longterm very bullish , if Biden comes , we may see shortterm volatility due to Trump not agreein to results . And matter going to supreme court will be negative"
70,US election 2020: Trump to leave America if he loses to Biden  https://t.co/d2NkBFhrT5  https://t.co/Gz6pqc3WKJ
75,"My report this weekend on #China, the #US election and #DonaldTrump... listen from 6.25"
79,"Exclusive interview with Steve Bannon on my show on @SkyNewsAust at 6pm today. Bannon has big breaking news on the Hunter Biden emails, plus he speaks about the US election and Donald Trump’s plans post 2020. Tune in at 6pm! @WarRoomPandemic  https://t.co/iGPdNE8IgW"
82,My 12yo girl is debating my 79yo bombastic Trump-loving dad about US election issues and she’s taking none of his Fox News fuelled talking points. She’s not backing down. This is when I say “How ‘bout those Flames?” and try to get off the phone. Impressed.
87,@BruceAHeyman Canadians have many good reasons to be following the US election.   I joined Twitter because of Trump and a lot of those following me are like-minded Canadians.
