,Tweet
4,Make it all blue.   Build your own US election result: plot a win for Biden or Trump  https://t.co/AUQC088d5h
12,"Whilst some are panicking at drops in usually strong plays today, others are relishing pricing opportunities presenting which will turn out to be well timed buys following resolution to US election uncertainty (it is on Tuesday)  #Trump wins markets up #Biden wins markets up"
36,"Really useful on what’s at stake in US election: If Biden &amp; Democrats win, cultural and political power will be united in one party and the predominant ideology of that party is woke. ... woke ideas will become institutionalised to an even greater extent.  https://t.co/LZMUznqpfb"
40,“Innocent people have lost their lives and that’s the way the Trump people talk about it.”  Former senior adviser to Joe Biden Moe Vela ‘takes offence’ to a former Trump campaigner saying that Joe Biden has COVID “going for him”.  #USelection #KayBurley:  https://t.co/KxzxtEiNIi  https://t.co/E8VFJgSvUU
42,Former Trump campaign adviser Sam Nunberg says Joe Biden has 'COVID going for him' but has “no message” on why people should vote for him.  #USelection Get #KayBurley updates live:  https://t.co/KxzxtEiNIi  https://t.co/yAWVBUP8HD
48,US election: Billionaire Bloomberg funds extra $22.3m in advertisements for Biden's final push  https://t.co/wCL7KSxZnT
50,@AartiTikoo @Ilhan @PramilaJayapal This tweet is exactly why they chose to vote for Biden n Harris. This propaganda has to end. This hate and divisional mindset should be dealt with. Sangh Parivar attempt to influence US election to get support for their atrocities in India n Kashmir is coming to an end.
55,"US election will decide the outflow/inflow Across Asia and Othr emerging markets . If trump wins US Equities will be longterm very bullish , if Biden comes , we may see shortterm volatility due to Trump not agreein to results . And matter going to supreme court will be negative"
62,"One week until US Election Day! @JoeBiden  is still in the lead, so how confident is former Democratic Party Chair @GovHowardDean feeling? Find out tonight on @ABCTV and iview.  https://t.co/6TpH13hExI"
70,US election 2020: Trump to leave America if he loses to Biden  https://t.co/d2NkBFhrT5  https://t.co/Gz6pqc3WKJ
73,"The US election, held November 4 Sydney time, will be one of the tensest election watches in history. Is the conventional wisdom that Biden will win right?  My oped @smh today.-BW @USSC"
79,"Exclusive interview with Steve Bannon on my show on @SkyNewsAust at 6pm today. Bannon has big breaking news on the Hunter Biden emails, plus he speaks about the US election and Donald Trump’s plans post 2020. Tune in at 6pm! @WarRoomPandemic  https://t.co/iGPdNE8IgW"
